Date,Open,High,Low,Close,Adj Close,Volume
2000-01-04,6000.0,6110.0,5660.0,6110.0,4449.7099609375,74195000
2000-01-05,5800.0,6060.0,5520.0,5580.0,4063.72900390625,74680000
2000-01-06,5750.0,5780.0,5580.0,5620.0,4092.85888671875,54390000
2000-01-07,5560.0,5670.0,5360.0,5540.0,4034.5986328125,40305000
2000-01-10,5600.0,5770.0,5580.0,5770.0,4202.099609375,46880000
2000-01-11,5820.0,6100.0,5770.0,5770.0,4202.099609375,59745000
2000-01-12,5610.0,5740.0,5600.0,5720.0,4165.68701171875,29220000
2000-01-13,5600.0,5740.0,5560.0,5710.0,4158.40380859375,41190000
2000-01-14,5720.0,5880.0,5680.0,5830.0,4245.79541015625,49375000
2000-01-17,6000.0,6180.0,5920.0,6100.0,4442.4267578125,63505000
2000-01-18,6160.0,6160.0,5980.0,6100.0,4442.4267578125,45260000
2000-01-19,6000.0,6040.0,5960.0,5960.0,4340.4697265625,40205000
2000-01-20,5860.0,6040.0,5820.0,6040.0,4398.73095703125,37315000
2000-01-21,5950.0,5980.0,5880.0,5880.0,4282.20947265625,32535000
2000-01-24,5800.0,5900.0,5700.0,5700.0,4151.12109375,34355000
2000-01-25,5520.0,5640.0,5440.0,5440.0,3961.772216796875,44250000
2000-01-26,5500.0,5520.0,5410.0,5480.0,3990.90283203125,29285000
2000-01-27,5480.0,5620.0,5430.0,5520.0,4020.03173828125,27900000
2000-01-28,5640.0,5880.0,5540.0,5820.0,4238.51318359375,38315000
2000-01-31,5640.0,5730.0,5560.0,5580.0,4063.72900390625,39630000
2000-02-01,5600.0,5680.0,5260.0,5320.0,3874.38037109375,71470000
2000-02-02,5220.0,5370.0,5110.0,5250.0,3823.400390625,64105000
2000-02-03,5250.0,5460.0,4970.0,5130.0,3736.00830078125,142765000
2000-02-04,5130.0,5130.0,5130.0,5130.0,3736.00830078125,0
2000-02-07,5140.0,5330.0,5040.0,5240.0,3816.117919921875,64140000
2000-02-08,5340.0,5480.0,5310.0,5430.0,3954.48974609375,58460000
2000-02-09,5560.0,5720.0,5480.0,5720.0,4165.68701171875,51050000
2000-02-10,5660.0,5880.0,5600.0,5760.0,4194.81787109375,61845000
2000-02-11,5960.0,5960.0,5680.0,5700.0,4151.12109375,34660000
2000-02-14,5600.0,5660.0,5340.0,5380.0,3918.076416015625,44140000
2000-02-15,5380.0,5420.0,5140.0,5200.0,3786.9873046875,38315000
2000-02-16,5180.0,5200.0,4780.0,5000.0,3641.33447265625,73115000
2000-02-17,4940.0,5100.0,4910.0,5080.0,3699.595458984375,65185000
2000-02-18,5370.0,5630.0,5160.0,5300.0,3859.812744140625,108750000
2000-02-21,5200.0,5260.0,5030.0,5070.0,3692.3125,26485000
2000-02-22,5000.0,5240.0,5000.0,5120.0,3728.726318359375,24180000
2000-02-23,5220.0,5260.0,5100.0,5140.0,3743.292724609375,27720000
2000-02-24,5120.0,5240.0,5060.0,5070.0,3692.3125,26075000
2000-02-25,5080.0,5150.0,4980.0,5120.0,3728.726318359375,27875000
2000-02-28,5000.0,5050.0,4800.0,4800.0,3495.6806640625,30140000
2000-02-29,4900.0,5140.0,4840.0,5120.0,3728.726318359375,51820000
2000-03-01,5120.0,5120.0,5120.0,5120.0,3728.726318359375,0
2000-03-02,5880.0,5880.0,5520.0,5880.0,4282.20947265625,117750000
2000-03-03,6200.0,6250.0,5880.0,6000.0,4369.6015625,140990000
2000-03-06,6000.0,6050.0,5600.0,5640.0,4107.42529296875,39150000
2000-03-07,5600.0,5640.0,5480.0,5620.0,4092.85888671875,30070000
2000-03-08,5520.0,6000.0,5500.0,5920.0,4311.33935546875,32460000
2000-03-09,5970.0,5980.0,5620.0,5620.0,4092.85888671875,55890000
2000-03-10,5790.0,5800.0,5520.0,5540.0,4034.5986328125,28605000
2000-03-13,5480.0,5490.0,5160.0,5180.0,3772.421875,32215000
2000-03-14,5170.0,5380.0,5160.0,5210.0,3794.2685546875,30060000
2000-03-15,5200.0,5400.0,5120.0,5400.0,3932.642333984375,46105000
2000-03-16,5480.0,5520.0,5360.0,5400.0,3932.642333984375,28795000
2000-03-17,5540.0,5560.0,5400.0,5480.0,3990.90283203125,24080000
2000-03-20,5600.0,5710.0,5530.0,5660.0,4121.990234375,26365000
2000-03-21,5700.0,5940.0,5610.0,5880.0,4282.20947265625,44925000
2000-03-22,5960.0,6300.0,5880.0,6200.0,4515.2548828125,86975000
2000-03-23,6480.0,6580.0,6200.0,6200.0,4515.2548828125,64950000
2000-03-24,6320.0,7120.0,6180.0,6800.0,4952.21533203125,90260000
2000-03-27,6960.0,7040.0,6700.0,6800.0,4952.21533203125,67730000
2000-03-28,6900.0,7260.0,6820.0,7030.0,5119.7158203125,74425000
2000-03-29,7030.0,7680.0,6980.0,7660.0,5578.5234375,78090000
2000-03-30,7520.0,7560.0,7050.0,7050.0,5134.28125,74645000
2000-03-31,6800.0,7070.0,6650.0,6700.0,4879.38818359375,63855000
2000-04-03,6920.0,7320.0,6860.0,7100.0,5170.69384765625,56805000
2000-04-04,7000.0,7290.0,6660.0,6800.0,4952.21533203125,58340000
2000-04-05,6800.0,6800.0,6800.0,6800.0,4952.21533203125,0
2000-04-06,6860.0,6960.0,6680.0,6680.0,4864.82177734375,47235000
2000-04-07,6860.0,7260.0,6780.0,7200.0,5243.521484375,42355000
2000-04-10,7500.0,7500.0,7200.0,7300.0,5316.34716796875,35885000
2000-04-11,7200.0,7200.0,6950.0,7100.0,5170.69384765625,29075000
2000-04-12,6960.0,7030.0,6860.0,6910.0,5032.32373046875,35250000
2000-04-13,6910.0,6910.0,6910.0,6910.0,5032.32373046875,0
2000-04-14,6600.0,6680.0,6260.0,6260.0,4558.9521484375,62365000
2000-04-17,5420.0,5750.0,5340.0,5520.0,4020.03173828125,78050000
2000-04-18,6200.0,6240.0,5860.0,6040.0,4398.73095703125,73730000
2000-04-19,6300.0,6460.0,5860.0,6000.0,4369.6015625,60615000
2000-04-20,5960.0,6160.0,5920.0,6020.0,4384.16748046875,37335000
2000-04-21,6060.0,6180.0,5970.0,6050.0,4406.01416015625,26425000
2000-04-24,5970.0,6030.0,5760.0,5800.0,4223.94775390625,27830000
2000-04-25,5620.0,5760.0,5520.0,5640.0,4107.42529296875,34900000
2000-04-26,5820.0,5860.0,5600.0,5600.0,4078.294921875,39290000
2000-04-27,5520.0,5700.0,5400.0,5400.0,3932.642333984375,54110000
2000-04-28,5500.0,6100.0,5460.0,6000.0,4369.6015625,75530000
2000-05-01,6000.0,6000.0,6000.0,6000.0,4369.6015625,0
2000-05-02,6200.0,6530.0,6120.0,6280.0,4573.513671875,72335000
2000-05-03,6240.0,6260.0,6090.0,6180.0,4500.68896484375,26585000
2000-05-04,6220.0,6360.0,6140.0,6180.0,4500.68896484375,26100000
2000-05-05,6180.0,6180.0,6180.0,6180.0,4500.68896484375,0
2000-05-08,6400.0,6700.0,6300.0,6560.0,4777.43017578125,52695000
2000-05-09,6560.0,6560.0,6560.0,6560.0,4777.43017578125,0
2000-05-10,6320.0,6390.0,6270.0,6350.0,4624.494140625,27620000
2000-05-11,6350.0,6350.0,6350.0,6350.0,4624.494140625,0
2000-05-12,6420.0,6440.0,6160.0,6160.0,4486.125,47170000
2000-05-15,6290.0,6530.0,6220.0,6440.0,4690.0380859375,47120000
2000-05-16,6510.0,6800.0,6510.0,6800.0,4952.21533203125,39620000
